,Video ID,Title,Comment_Original,Comment,Label
0,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Vaksin tak berguna,vaksin tidak berguna,0
1,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Penelitian vaksin yg bgtu cpat, vaksin dbd, sars, DLL Aja blm d tmukan",penelitian vaksin yang begitu cepat vaksin dbd sars dll aja belum tmukan,0
2,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Klo bs faksinnya di tambahin odading mang oleh biar semua jd ironman biar gak ada penyakit yg bs nyerang lagi!,kalau bisa faksinnya di tambahin odading mang oleh biar semua jd ironman biar gak ada penyakit yang bisa nyerang lagi,0
3,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Yg divaksin pertama harusnya orang nomor 1 di RI..presiden suntik pertama biar rakyat percaya jika vaksin itu aman..bukan cuma buat coba2 doang..,yang divaksin pertama harusnya orang nomor di ri presiden suntik pertama biar rakyat percaya jika vaksin itu aman bukan cuma buat coba doang,0
4,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Tolak vaksin covid19,tolak vaksin covid,0
5,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,YG PERTAMA DISUNTIK VAKSIN JANUARI 2021.  ADALAH PRESIDEN KANTOR STAP PRESIDEN. ANGGOUTA DPR. ELIT ELIT POLITIK.MENTRI MENTRI. POLRI.TNI. ASN. MASYARAKAT. JANGAN MASYARAKAT DULU YG DIATAS DULU PA.,yang pertama disuntik vaksin januari adalah presiden kantor stap presiden anggouta dpr elit elit politik mentri mentri polri tni asn masyarakat jangan masyarakat dulu yang diatas dulu pa,0
6,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Mohon jgn beli vaksin pak..,mohon jangan beli vaksin pak,0
7,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"HARAP nya vaksin Tak berjaya,nanti auto kaya kalian wkwk",harap nya vaksin tidak berjaya nanti auto kaya kalian wkwk,0
8,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Efek samping otot kejang,demam tinggi batuk keras..!!!",efek samping otot kejang demam tinggi batuk keras,0
9,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Lol vaksin darimana, ini korona dalam hitungan bulan sudah ada aja vaksinnya, lah penyakit sebelumnya apa kabar",lol vaksin darimana ini korona dalam hitungan bulan sudah ada aja vaksinnya lah penyakit sebelumnya apa kabar,0
10,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Aku ga mau jadi kelinci percobaan china....,aku ga mau jadi kelinci percobaan china,0
11,PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,No vaksin pak....,no vaksin pak,0
